app_id,title,dev_id,installs,dev_url,dev_email
com.leeplay.babyphone,Baby Phone 3 in 1 for Kids,Leeplay,"1,000+",http://oriplay.com/about/,oriplay.apps@gmail.com
com.lingodeer.plus,LingoDeer Plus - Language Skill Training,7759954603904489728,"1,000+",http://www.lingodeer.com,support@lingodeer.com
com.giantssoftware.fs18.google,Farming Simulator 18,GIANTS+Software,"500,000+",http://www.farming-simulator.com/contact.php,support@giants-software.com
com.tocaboca.tocalab,Toca Lab: Elements,8567646723268777320,"500,000+",http://tocaboca.com,support@tocaboca.com
org.xtramath.mathfacts,XtraMath,XtraMath,"50,000+",https://xtramath.org/,erika@xtramath.org
com.giantssoftware.fs16,Farming Simulator 16,GIANTS+Software,"500,000+",http://www.farming-simulator.com/contact.php,support@giants-software.com
air.org.pbskids.danieltigerpottyapp,Daniel Tiger's Stop & Go Potty,8332149447945516079,"10,000+",http://pbskids.org/apps,AndroidApp@pbs.org
com.noctuasoftware.stellarium,Stellarium Mobile Sky Map,4632858392244702223,"100,000+",http://www.noctua-software.com/,contact@noctua-software.com
com.freecloud.StackTheStates,Stack the States®,Dan+Russell-Pinson,"50,000+",http://dan-russell-pinson.com,admin@freecloud.com
uk.co.bluezoo.numberblocks.game1,Numberblocks - Hide and Seek,Blue+Zoo,"1,000+",http://www.blue-zoo.co.uk,appsupport@blue-zoo.co.uk
com.binibambini.Mini,Drawing for Kids and Toddlers.,8936557872064984673,"100,000+",http://binibambini.com/,feedback@binibambini.com
com.intellijoy.android.reading,Learn to Read with Tommy Turtle,6695914693084197974,"100,000+",http://www.intellijoy.com,questions@intellijoy.com
net.pluginmedia.pawpatrolflyer,PAW Patrol Air and Sea Adventures,Nickelodeon,"100,000+",http://www.nickjr.com/appsupport,appsupport@nickjr.com
com.peppapig.holiday,Peppa Pig: Holiday,5920339924959681787,"50,000+",http://eonefamily.com/home,support@peppapig.com
com.vocabulary.app,Vocabulary.com,Vocabulary.com,"50,000+",http://www.vocabulary.com,support@vocabulary.com
com.kevinbradford.games.secondgrade,Second Grade Learning Games,7324901894058820362,"10,000+",http://www.rosimosi.com,help@rosimosi.com
com.thup.lunchbox,Monkey Preschool Lunchbox,7420649169927805172,"100,000+",http://www.monkeypreschool.com/,support@thup.com
edu.terc.zoombinis,Zoombinis,TERC,"10,000+",http://www.zoombinis.com/,support@terc.edu
se.filimundus.briorailway,BRIO World - Railway,Filimundus+AB,"10,000+",http://www.filimundus.se,info@filimundus.se
com.freecloud.StackTheStates2,Stack the States® 2,Dan+Russell-Pinson,"10,000+",http://dan-russell-pinson.com,admin@freecloud.com
com.nightanddaystudios.games.peekaboobarn,Peekaboo Barn,"Night+%26+Day+Studios,+Inc.","10,000+",http://www.nightanddaystudios.com,androidsupport@nightanddaystudios.com
com.freecloud.StackTheCountries,Stack the Countries®,Dan+Russell-Pinson,"10,000+",http://dan-russell-pinson.com,admin@freecloud.com
com.peppapig.themepark,Peppa Pig: Theme Park,5920339924959681787,"10,000+",http://eonefamily.com/home,support@peppapig.com
com.suntex.game24,24 Game – Math Card Game,Suntex+International+Inc,"5,000+",http://www.24game.com,info@24game.com
kr.co.smartstudy.pinkfongpolice_android_googlemarket,Pinkfong The Police,5316747288696116828,"1,000+",http://www.smartstudy.co.kr/,cs@smartstudy.co.kr
com.guruarcade.truewishes,True Wishes,Guru+Arcade,"1,000+",http://gurustudio.com,arcade@gurustudio.com
com.wewanttoknow.Numbers,DragonBox Numbers,WeWantToKnow+AS,"10,000+",http://dragonbox.com/products/numbers,support@dragonbox.com
com.mtvn.pawpatrolgooglehan,PAW Patrol Rescue Run,Nickelodeon,"10,000+",http://www.nickjr.com/appsupport,appsupport@nickjr.com
com.oceanhouse_media.bookgreeneggsandham_app,Green Eggs and Ham - Dr. Seuss,6785444890720651855,"10,000+",http://www.oceanhousemedia.com,support@oceanhousemedia.com
com.sagosago.PetCafe.googleplay,Sago Mini Pet Cafe,6600704821286067966,"10,000+",http://www.sagomini.com,support@sagomini.com
cz.cfc.androidgp.sightwords,Sight Words Games & Flash card,"22LEARN,+LLC","50,000+",http://www.22learn.com,support.gp@22learn.com
com.maelstrom.KindySightWords,Kindergarten Sight Words,Maelstrom+Interactive,"5,000+",http://www.maelstrominteractive.com/,maelstromdev@gmail.com
com.intellijoy.sightwords,Kids Reading Sight Words,6695914693084197974,"10,000+",http://www.intellijoy.com,questions@intellijoy.com
com.learningtouch.bobbooksrm1,Bob Books Reading Magic #1,7108178774959030774,"5,000+",http://www.bobbooks.com,apps@bobbooks.com
com.thup.fixit,Monkey Preschool Fix-It,7420649169927805172,"10,000+",http://www.thup.com/,support@thup.com
com.sevenacademy.wordland,Sight Words reading & spelling,9017602380275422612,"5,000+",http://www.edokiacademy.com,support@edokiacademy.com
com.readingraven.android,Reading Raven: Learn-to-read Adventure Game,Early+Ascent+LLC,"1,000+",http://www.readingraven.com/,feedback@earlyascent.com
com.mtvn.tmntprecoolgoogle,TMNT: Half-Shell Heroes,Nickelodeon,"10,000+",http://www.nickjr.com/appsupport/,appsupport@nickjr.com
com.chevol.spellingmonster,Spelling Monster,DesireLife+Software,"1,000+",http://SpellingMonster.com,info@spellingmonster.com
com.oceanhouse_media.bookcatinthehat_app,The Cat in the Hat - Dr. Seuss,6785444890720651855,"100,000+",http://www.oceanhousemedia.com,support@oceanhousemedia.com
com.classicalconversations.tutorials.cycle1,Foundations Memory Work C1,Classical+Conversations+Inc,"1,000+",https://www.classicalconversations.com/,customerservice@classicalconversations.com
com.peppapig.seasonsaw,Peppa Seasons: Autumn & Winter,5920339924959681787,"5,000+",http://eonefamily.com/home,support@peppapig.com
com.thup.MonkeyMath,Monkey Math School Sunshine,7420649169927805172,"10,000+",http://www.monkeypreschool.com/,support@thup.com
com.wewanttoknow.DragonBox2,DragonBox Algebra 12+,WeWantToKnow+AS,"10,000+",http://dragonbox.com/products/algebra-12,support@dragonbox.com
com.wewanttoknow.DragonBoxPlus,DragonBox Algebra 5+,WeWantToKnow+AS,"10,000+",http://dragonbox.com/products/algebra-5,support@dragonbox.com
org.spalding.phonograms,Phonograms,Spalding+Education,"5,000+",http://www.spalding.org,staff@spalding.org
com.mtvn.doraperrito.google,Dora Appisode: Perrito,Nickelodeon,"5,000+",http://www.nickjr.com/appsupport,appsupport@nickjr.com
com.intellijoy.tellingtime,Kids Telling Time,6695914693084197974,"5,000+",http://www.intellijoy.com,questions@intellijoy.com
com.circusatos.littlemousesencyclopedia,Little Mouse's Encyclopedia,5268755458235428172,100+,http://www.circusatos.com,info@circusatos.com
com.vitotechnology.StarWalk,Star Walk - Night Sky Guide: Planets and Stars Map,8260185806738829255,"100,000+",http://www.vitotechnology.com,support@vitotechnology.com
com.azati.noteworks,NoteWorks,Azati,"5,000+",http://www.azati.com,info@azati.com
com.seterra,Seterra Geography,Seterra+AB,"5,000+",http://www.seterra.com,info@seterra.com
com.november31.mathflashcardsFull,Math Flash Cards,7885874865225044707,"1,000+",http://november31.com,info@november31.com
com.bbc.heyduggeebigbadgeapp,Hey Duggee: The Big Badge App,BBC+Worldwide+%28Ltd%29,"10,000+",http://www.scarybeasties.com/app_content/bbc_worldwide/heyduggee1/parents/contact_online.html,support@scarybeasties.com
com.thup.MonkeyWord,Monkey Word School Adventure,7420649169927805172,"10,000+",http://www.thup.com/,support@thup.com
org.pbskids.swhyphonicsgoogle,Super Why! Phonics Fair,8332149447945516079,"10,000+",http://pbskids.org/apps,AndroidApp@pbs.org
air.com.starfall.numbers,Starfall Numbers,Starfall+Education+Foundation,"5,000+",http://more.starfall.com,helpdesk@starfall.com
uk.co.keystagefun.squeeblessp,Squeebles Spelling Test,Keystagefun,"10,000+",http://www.keystagefun.co.uk,info@keystagefun.co.uk
air.com.pepiplay.pepitree,Pepi Tree,6943021025006889296,"10,000+",http://www.pepiplay.com,support@pepiplay.com
com.brightact.android.bankaroo,Bankaroo-virtual bank for kids,BrightAct+LLC,100+,http://www.bankaroo.com,support@bankaroo.com
com.playdatedigital.DinoIsland,Transformers Rescue Bots: Dino,6509589977203669354,"10,000+",http://playdatedigital.com/,shaan@playdatedigital.com
org.pbskids.superwhyapp,Super Why! Power to Read,8332149447945516079,"1,000+",http://pbskids.org/apps,AndroidApp@pbs.org
air.com.little10robot.alphatots,AlphaTots Alphabet,8190242020906333764,100+,http://www.little10robot.com,apps@little10robot.com
com.sec.kidsplat.kidsbcg,Crocro Adventure,6471849352631022478,"1,000+",http://www.sidi.org.br,solutions.apps@sidi.org.br
com.playdatedigital.PowerPonies,My Little Pony: Power Ponies,6509589977203669354,"5,000+",http://playdatedigital.com/,info@playdatedigital.com
com.babysignandlearn.asldictionary,ASL Dictionary for Baby Sign,Baby+Sign+and+Learn,"1,000+",http://www.babysignandlearn.com,info@babysignandlearn.com
com.lifeway.vbs2019,LifeWay VBS In The Wild,LifeWay+Christian+Resources,50+,http://www.lifeway.com,customerservice@lifeway.com
com.vitotechnology.SolarWalk2,Solar Walk 2 - Spacecraft 3D and Space Exploration,8260185806738829255,"50,000+",http://www.vitotechnology.com,support@vitotechnology.com
air.com.starfall.gingerbread,Starfall Gingerbread,Starfall+Education+Foundation,"5,000+",http://more.starfall.com,helpdesk@starfall.com
org.pbskids.wkbabybuddies,Wild Kratts Baby Buddies,8332149447945516079,"10,000+",http://pbskids.org/apps,AndroidApp@pbs.org
com.intellijoy.math.firstgrade.wp,First Grade Math Word Problems,6695914693084197974,"1,000+",http://www.intellijoy.com,questions@intellijoy.com
com.chesskingdom,Magnus Kingdom of Chess,WeWantToKnow+AS,"1,000+",https://magnuskingdom.com,support@magnuskingdom.com
com.storytoys.Farm123.GooglePlay,Farm 123 - Learn to count,8762313232916265908,"10,000+",http://www.storytoys.com,support@storytoys.com
com.freecloud.Presidents,Presidents vs. Aliens®,Dan+Russell-Pinson,"1,000+",http://dan-russell-pinson.com,admin@freecloud.com
com.storytoys.hungrycaterpillar.book1.paid.android.googleplay,The Very Hungry Caterpillar - Play & Explore,8762313232916265908,"10,000+",http://storytoys.com,support@storytoys.com
com.kevinbradford.games.firstgradefullvpp,First Grade Learning Games (School Edition),7324901894058820362,"5,000+",http://www.rosimosi.com,help@rosimosi.com
com.paragonworks.myrosary,My Rosary,"Paragon+Works,+LLC","1,000+",http://www.paragonworks.com,support@paragonworks.com
uk.co.bluezoo.meetthealphablocks2,Alphablocks - Letter Fun!,Blue+Zoo,"5,000+",http://www.blue-zoo.co.uk,appsupport@blue-zoo.co.uk
com.happyfrogapps.fluency,Reading Fluency Skill Builder,Happy+Frog+Apps,100+,http://www.HappyFrogApps.com,support@happyfrogapps.com
com.intellijoy.letters.tracing,Alive Alphabet: Letter Tracing,6695914693084197974,"1,000+",http://www.intellijoy.com,questions@intellijoy.com
com.wewanttoknow.BigNumbers,DragonBox Big Numbers,WeWantToKnow+AS,"5,000+",http://dragonbox.com/products/big-numbers,support@dragonbox.com
com.playdatedigital.potatohead,Mr. Potato Head: School Rush,6509589977203669354,"5,000+",http://playdatedigital.com/,shaan@playdatedigital.com
fr.playsoft.doravol1,Dora ABCs Vol 1: Letters,Nickelodeon,"5,000+",http://www.nickjr.com/appsupport,appsupport@nickjr.com
com.playdatedigital.racetotherescue,Transformers Rescue Bots: Need for Speed,6509589977203669354,"1,000+",http://playdatedigital.com/,shaan@playdatedigital.com
com.mtvn.DoraVacaciones.Google,Dora and Diego's Vacation,Nickelodeon,"10,000+",http://www.nickjr.com/appsupport,appsupport@nickjr.com
com.arrowstar.BabyWizard,Magic Counting 1 to 10! PRO,8571614593816921411,"10,000+",http://wowkids.io,support@wowkids.io
dinosaur.app.star.pro,Dinosaurs Flashcards V2 PRO,AppStar+Studio,"1,000+",http://app.appstar.url.tw/APP/AppStar/PrivacyPolicy.html,kidsappstar@gmail.com
com.mtvn.pawpatrolgoogletab,PAW Patrol Rescue Run HD,Nickelodeon,"10,000+",http://www.nickjr.com/appsupport,appsupport@nickjr.com
com.littlebitstudio.BugsAndButtons,Bugs and Buttons,"Snap+Two+Studio,+LLC.","10,000+",http://snaptwostudio.com,support@snaptwostudio.com
com.binibambini.MiniABC,Baby ABC in box! Kids alphabet games for toddlers,8936557872064984673,"10,000+",http://binibambini.com/,feedback@binibambini.com
com.intellijoy.abc.trains,Learn Letter Names and Sounds with ABC Trains,6695914693084197974,"50,000+",http://www.intellijoy.com,questions@intellijoy.com
com.anahoret.android.numbers,Kids Numbers and Math,6695914693084197974,"100,000+",http://www.intellijoy.com,questions@intellijoy.com
air.com.thirdsense.eggyWords250,Eggy 250 HD,Blake+eLearning+Pty+Ltd,"10,000+",http://readingeggs.com.au/,bel_android@blake.com.au
com.playdatedigital.RarityManehattan,MY LITTLE PONY: Rarity Chic,6509589977203669354,"1,000+",http://playdatedigital.com/,shaan@playdatedigital.com
com.heyclay.abc.en,Talking ABC,Hey+Clay,"5,000+",http://hey-clay.com,contact@hey-clay.com
org.pbskids.dinoatozandroid,Dinosaur Train A to Z,8332149447945516079,"10,000+",http://pbskids.org/apps,AndroidApp@pbs.org
com.oceanhouse_media.bookbartholomew_app,Bartholomew and the Oobleck,6785444890720651855,100+,http://www.oceanhousemedia.com,support@oceanhousemedia.com
com.letterschool,LetterSchool - Block Letters,5086466461784361237,"10,000+",http://www.letterschool.com/,support@letterschool.com
com.intellijoy.kids.math,Kids Kindergarten Math,6695914693084197974,"1,000+",http://www.intellijoy.com,questions@intellijoy.com
com.lescapadou.tracing,Writing Wizard Premium - Handwriting,7403312528799372286,"5,000+",http://lescapadou.com,lescapadou.android@gmail.com
com.vectorpark.metamorphabet,Metamorphabet,Vectorpark,"5,000+",http://vectorpark.com,vectorpark@gmail.com
com.lescapadou.picturespelling,Montessori Words & Phonics,7403312528799372286,"10,000+",http://lescapadou.com,support@lescapadou.com
com.intellijoy.shapes2,Kids Learn Shapes 2,6695914693084197974,"1,000+",http://www.intellijoy.com,questions@intellijoy.com
