app_id,title,dev_id,installs,dev_url,dev_email
com.salsaritas.app,Salsarita's,Salsarita%E2%80%99s+Franchise+Holdings,"5,000+",https://salsaritas.com/,appdev@salsaritas.com
com.habit.mobile,The Habit Burger Grill,"The+Habit+Restaurants,+LLC","1,000+",https://www.habitburger.com/,habitapp@habitburger.com
com.paytronix.client.android.app.snuffers,Snuffer's Cheddar Fries Nation,Paytronix+Systems,500+,http://snuffers.com/,feedback@snuffers.com
crumbl.cookies,Crumbl Cookies,"Crumbl,+LLC",500+,http://crumbl.com,support@crumbl.com
com.colectivocoffee.aoa,Colectivo Coffee,Colectivo+Coffee+Roasters,100+,http://colectivocoffee.com,feedback@colectivocoffee.com
com.excentus.shellfleet,Fuel Rewards PRO,Excentus+Corp.,100+,https://www.fuelrewards.com,mobiledev@excentus.com
com.buffalowingsandrings.app,Buffalo Wings & Rings,Buffalo+Wings+%26+Rings,50+,https://www.buffalowingsandrings.com/,bwrlocations@gmail.com
com.ordrslip.krab.kingz.memphis,Krab Kingz - Memphis,OrdrSlip,100+,https://ordrslip.com/,neil@ordrslip.com
com.doordash.coupons,DoorDash Coupons,Leon+Houghton,50+,https://kutongjeb.blogspot.com/2019/02/privacypolicy.html,thaifootballtoday@gmail.com
com.xiaojukeji.didi.global.customer,DiDi Food – Food Delivery,DiDi+Global,"10,000+",http://didi-food.com,wenjuan@didichuxing.com
com.restaurantsearch,Restaurant Search,mikuni,50+,,mikuni0@outlook.com
com.awesomeness.souschef2,The Sous Chef,The+Sous+Chef,"1,000+",http://justinmwarner.wordpress.com,warner.73@wright.edu
com.selfpoint.yidels,Yidel's Food Station,6252484124364100449,1+,http://www.self-point.com,development@self-point.com
com.queencitydeliverstakeout.mobile,Queen City Delivery,Data+Dreamers+LLC,5+,https://www.queencitydeliverstakeout.com,support@datadreamers.com
com.untitled.keeganslist,KeegansList,Andrew+Gonzales-Raines,10+,http://keeganslist.com/android-tutorial/,drew@datingbrooklyn.com
org.rchtech.tots2toddlers.lunchbox,Tots2Toddlers - Lunchbox Ideas,RCH+Technologies,5+,http://www.rchtech.ie,info@rchtech.ie
com.dunkinbrands.otgo,Dunkin' Donuts,"Dunkin%27+Brands,+Inc.","1,000,000+",https://www.dunkindonuts.com/en,customerservice@dunkinbrands.com
com.dominospizza,Domino's Pizza USA,Domino%27s+Pizza+LLC,"10,000,000+",http://www.dominos.com,androidsupport@dominos.com
com.sonic.sonicdrivein,SONIC Drive-In,"Sonic+Industries+Services,+Inc.","1,000,000+",http://www.sonicdrivein.com,app.feedback@sonicdrivein.com
com.mealime,"Mealime - Meal Planner, Recipes & Grocery List",Mealime+Meal+Plans+Inc,"500,000+",http://www.mealime.com,hello@mealime.com
mobi.fastender,Fastender.mobi,Fastender+LLC,100+,https://www.fastender.mobi,development@fastenderllc.com
com.colectivocoffee.aoa,Colectivo Coffee,Colectivo+Coffee+Roasters,100+,http://colectivocoffee.com,feedback@colectivocoffee.com
com.bodyfast,"BodyFast Intermittent Fasting: Coach, diet tracker",BodyFast+UG,"1,000,000+",https://www.bodyfast.de,info@bodyfast.de
com.prestigeworldwide.myfast,MyFast - Intermittent Fasting Tracker Schedule App,"Prestige+Worldwide+Apps,+Inc","100,000+",http://prestigeworldwideapps.com,prestigeworldwide.app@gmail.com
com.hw.blaze,Blaze Pizza,Blaze+Pizza,"100,000+",https://blazepizza.com/,app@blazepizza.com
com.compass_canada.thrive,"Thrive: Good Food, Fast",Digital+Hospitality+-+CGC,"5,000+",http://thriveapp.io,compassapps@compassdigital.io
com.hellofresh.androidapp,HelloFresh - Get Cooking,HelloFresh,"1,000,000+",https://www.hellofresh.com/app,noreply_android@hellofresh.com
com.globakeryco.ohsheglows,Oh She Glows - Healthy Recipes,Oh+She+Glows,"10,000+",http://ohsheglows.com,app_support+android@ohsheglows.com
com.sidechef.sidechef.partner.budgetbytes,Budget Bytes - Delicious Recipes for Small Budgets,SideChef,"10,000+",http://www.budgetbytes.com,support@sidechef.com
com.cookbook.cb,CookBook - The Recipe Manager,Cookbook+Ltd,"1,000+",http://thecookbookapp.com,support@thecookbookapp.com
com.frm.fullyraw,FullyRaw by Kristina,CitrusBits+Inc.,500+,https://citrusbits.com/,fullyraw@citrusbits.com
com.rebootwithjoe.android,101 Juice Recipes,Joe+Cross,"10,000+",http://shop.rebootwithjoe.com/products/101-juice-recipes-app,android@rebootwithjoe.com
domain.com.jmmedia.blackveganrecipes,Black Vegan Recipes,JM+Social+Media+LLC,"1,000+",http://www.aplikodevelopment.com,Jmm3dia@gmail.com
com.inout.inoutemoji,In-N-Out Emoji,In-N-Out+Burger,500+,http://www.in-n-out.com,appfeedback@innout.com
com.untitled.keeganslist,KeegansList,Andrew+Gonzales-Raines,10+,http://keeganslist.com/android-tutorial/,drew@datingbrooklyn.com
com.ranchosoftware.rawvana,Rawvana's Raw Recipes,TouchZen+Media+LLC,"10,000+",http://www.TouchZenMedia.com,Support@TouchZenMedia.com
com.sousvideunlimited.sousvideunlimited,SousVideUnlimited,SV+Unlimited+IVS,"1,000+",https://www.sousvideunlimited.com/,info@sousvideunlimited.com
co.jmills.deliciouslyella,Deliciously Ella,Deliciously+Ella+Ltd,"10,000+",http://deliciouslyella.com,ella@deliciouslyella.com
com.bartenderschoice,Bartender's Choice Vol.2,"Fancy+Free,+LLC","1,000+",http://bartenderschoice.co,attaboy134@gmail.com
com.dailyblends.recipephone,Daily Blends: Simple Green Smoothies,"Simple+Green+Smoothies,+LLC","1,000+",http://simplegreensmoothies.com,app@simplegreensmoothies.com
fr.cookbookpro,My CookBook Pro (Ad Free),Maadinfo+Services,"10,000+",http://mycookbook-android.com/site/,androidcookbook@gmail.com
com.palagraph.anovaremote,Sous-vide remote for ANOVA,Palagraph+Inc.,"5,000+",http://www.palagraph.com,vadim@palagraph.com
com.juicemaster.superblend,Super Blend Me,Juice+Master,"1,000+",http://juicemaster.com,apps@juicemaster.com
com.sidechef.sidechef.partner.cnk,Cookie + Kate - Celebrating Whole Foods!,SideChef,500+,http://www.sidechef.com,support@sidechef.com
com.arthur.recipes,Eo Recipes,Arthur+Tassinello,100+,http://eorecipes.com,myeorecipes4@gmail.com
com.jenlewis.Sticker,*Chef's Kiss*,Jen+Lewis,10+,http://jenlewis.website,jen@jenlewis.website
