app_id,title,dev_id,installs,dev_url,dev_email
com.rubygames.slingdrift,Sling Drift,tastypill,"10,000,000+",http://tastypill.com/,support@tastypill.com
com.playgendary.kickthebuddy,Kick the Buddy,7486814720100409246,"100,000,000+",http://www.playgendary.com/,support@playgendary.com
com.ohbibi.fps,FRAG Pro Shooter,5252052215468021294,"1,000,000+",http://www.ohbibi.com,support@ohbibi.com
com.rubygames.idledestruction,Press Inc.,Good+Job+Games,"1,000,000+",http://www.goodjobgames.com,contact@goodjobgames.com
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,5630538819012062144,"100,000,000+",http://outfit7.com/contact/android/,support@outfit7.com
com.kabam.marvelbattle,MARVEL Contest of Champions,5584164941825017957,"50,000,000+",http://www.playcontestofchampions.com,contact@kabam.com
com.futureplay.battleground,Battlelands Royale,9170985961245337722,"10,000,000+",http://www.futureplaygames.com,support@futureplaygames.com
com.generagames.resistance,Cover Fire: offline shooting games,7309208351846755609,"10,000,000+",http://www.generagames.com/,indiesupport@generagames.com
com.kakarod.bighunter,Big Hunter,KAKAROD+INTERACTIVE,"10,000,000+",http://www.kakarod.com/,contact@kakarod.com
com.gamedevltd.modernstrike,Modern Strike Online: PRO FPS,5464069849262017456,"10,000,000+",http://azurgames.com,support@ll-games.com
com.innersloth.spacemafia,Among Us,InnerSloth+LLC,"100,000+",http://www.innersloth.com,us@innersloth.com
com.neutronized.SnowKids,Snow Kids: Snow Game Arcade!,5561511723961851647,"10,000+",http://www.neutronized.com,support@neutronized.com
com.fungames.sniper3d,Sniper 3D Gun Shooter: Free Shooting Games - FPS,8186084684070471579,"100,000,000+",https://www.fungames-forfree.com/games/sniper3d,support+sniper3d@fungames-forfree.com
com.milliongames.dinosaurbattlesurvival,Dinosaur Battle Survival,Million+games,"1,000,000+",http://www.milliongames.net,milliongamesnew@gmail.com
com.gameloft.android.ANMP.GloftFWHM,Sniper Fury: Top shooting game - FPS,6258770168633898802,"50,000,000+",http://www.gameloft.com/,android.support@gameloft.com
com.devgame66.csshot,Gun Strike: Shooting Games,4745641900732694767,"100,000+",https://www.facebook.com/gm.de.925,devgame66@gmail.com
mobi.byss.gun3,Major GUN : War on Terror,7690092173980578394,"1,000,000+",http://byssmobile.com,majorgun@byss.mobi
com.Bingo.Football,Football Field Kick,Words+Mobile,"10,000+",http://www.words-mobile.com,contact@words-mobile.com
com.Heyworks.PocketTroopsVK,Pocket Troops: Tactical RPG,5464069849262017456,"5,000,000+",http://azurgames.com,pockettroops.feedback@heyworks.com
com.archerfighting.stickman.mon,Archer Fighter: Stickman Fight,Vision+Gamer,"10,000+",https://sites.google.com/view/visiongamer-privacy-policy/home,visiongamernew1@gmail.com
com.geishatokyo.snowballio,Snowball.io,"Geisha+Tokyo,+Inc.","10,000,000+",http://www.geishatokyo.com/,hc+snowballio@geishatokyo.com
com.crazylabs.cheatingtom.graffiti,City Vandal - Spray & Run,Crazy+Labs+by+TabTale,"1,000,000+",https://www.tabtale.com,WeCare@TabTale.com
com.playgendary.tom,Tomb of the Mask,7486814720100409246,"50,000,000+",http://www.playgendary.com/,support@playgendary.com
com.stickmanfight.ninja,Infinity Stickwars  - Legend Fight,Mickee+Adventure,"50,000+",https://sites.google.com/view/mickee-privacy-policy/trang-ch%E1%BB%A7,winifred249@gmail.com
com.minibattleroyale.real.survival.battle.royale.squad.mobilev2,Real Survival Battle Royale Squad Mobile 2,Mini+Battle+Royale,"5,000+",https://intellon-ca.com/privacy-policy/,minibattleroyale@gmail.com
com.gamedevltd.wwh,World War Heroes: WW2 Shooter,5464069849262017456,"10,000,000+",http://azurgames.com,support@ll-games.com
com.tinybytes.massivewarfare2,Massive Warfare: Aftermath,7246933359902698932,"5,000,000+",http://massivewarfare.com,massivewarfaregame@gmail.com
com.pikpok.nsr.play,I Am Monster: Idle Destruction,9173793138349320479,"1,000,000+",http://www.pikpok.com,support@pikpok.com
com.rubygames.splashyjump,Slime Road,tastypill,"1,000,000+",http://www.tastypill.com,support@tastypill.com
bubble.universe,Universe Bubble,7101346334273770676,"100,000+",http://www.ilyon.net,support@ilyon.net
com.tencent.ig,PUBG MOBILE,8638120915920097780,"100,000,000+",http://www.pubgmobile.com,PUBGMOBILE_CS@tencentgames.com
com.cs.assault.shooting.games,Desert Counter Attack,Crossfire+Gaming+Studio,"50,000+",http://crossfireprivacypolicy.blogspot.com,crossfiregamingstudio@gmail.com
com.yxqz2.an.en4399,Call of Heroes,Sgame,"500,000+",https://4399en.com/service/home/termsandservice,playgameforjoe@gmail.com
com.zg.dino.hunting.free.wild.jungle.sniper.safari.adventure,Dino Hunting Free Wild Jungle Sniper Safari,ZE+Actions+Shooting+%26+Simulation+Free+Games,"100,000+",http://www.zekab.com,zekab.intl@gmail.com
com.layabox.ball,Snowball - chilly snow skiing game snowboard game,%E6%9D%AD%E5%B7%9E%E5%B0%8F%E7%8E%A9%E5%AD%90%E7%BD%91%E7%BB%9C%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,"1,000+",https://static.shiyi11.com/static/facebook/ss.html,wanzhuapp123@gmail.com
com.EvilChaotic.ModernWarplanes,Modern Warplanes: Combat Aces PvP Skies Warfare,4894008586539345362,"10,000,000+",http://gt-race.net/privacy/PrivacyPolicy.html,assistance.gdc@gmail.com
com.hssoft.KungFuAttack,Kung Fu Attack:Offline Action RPG,4853553881095416334,"500,000+",https://sites.google.com/view/hssoft-privacy-policy/%E9%A6%96%E9%A1%B5,hssoft2018@gmail.com
com.gamedevltd.destinywarfare,Infinity Ops: Online FPS,5464069849262017456,"5,000,000+",http://azurgames.com,support@ll-games.com
com.sunstar.pirate.survival.prisonbreak,Pirate Survival Prison Break: Escape Story,4779969128663469113,"100,000+",https://sites.google.com/view/barracudafishgames/privacy-policy,barracudafishgames@gmail.com
com.djinnworks.ssk,Stickman Ski,5032575981749536800,"10,000+",http://www.djinnworks.at,support@djinnworks.at
com.games.bravo.gunfire.shooter.strike,Bravo Shooter: Gun Fire Strike,SABRES+Games+Studios,"1,000,000+",https://sabresstudio.wordpress.com/policy/,sabresstudios@gmail.com
com.gu.crime.city.GT.Auto.sim,Bank Robbery Crime LA Police,Desert+Safari+Studios,"1,000,000+",http://www.gameunified.com,ibtesam@gameunified.com
com.presoft.stickman,Stickman Bow Master,BuffaloStudio,"10,000+",https://sites.google.com/view/buffalostudio-privacy/trang-ch%E1%BB%A7,buffalo.meme8481@gmail.com
com.timuzgames.counterterrorstrike,Counter Terrorist - Gun Shooting Game,Million+games,"10,000,000+",http://www.milliongames.net,milliongamesnew@gmail.com
com.Snow.Golf,Golf Hit,CanaryDroid,"100,000+",http://www.canadadroid.com/policy.htm,contact@canadadroid.com
com.keystorm.DinoSquad,DinoSquad,KEYSTORM+HOLDINGS+LTD,"10,000+",http://project-aftermath.com/dinosquad-tos,keystormholdings@gmail.com
com.hotheadgames.google.free.ks2,Kill Shot Bravo: Sniper FPS,Hothead+Games,"10,000,000+",http://www.hotheadgames.com,support@hotheadgames.com
com.sega.soniccd.classic,Sonic CD Classic,7891990035506213180,"1,000,000+",http://www.sega.com,googleplay@segaofamerica.zendesk.com
com.survive.till.dead.zombies.dawn.shooter,Survive Till Dead : FPS Zombie Games,Fathom+Labs,100+,https://sites.google.com/view/fathomlabsstudios/home,fathomlabsstudios@gmail.com
com.game5mobile.popular,Popular Wars,6990178528646658622,"10,000,000+",http://lionstudios.cc,hello@lionstudios.cc
com.playappking.busrush,Bus Rush,6375024885749937863,"100,000,000+",https://play365.io/BR/privacy-policy/,tameikaHastin@gmail.com
com.nobodyshot.kzh,Hide from Zombies: ONLINE,8939510558189205600,"1,000,000+",http://nobodyshot.ru,mail@nobodyshot.com
com.colgamessnesoldgamersplayers.dr,Old Video Games 80s Classic 90s Gaming Retro Gen,ZayrnStation,500+,,Zayrnemustation@gmail.com
com.crazylabs.lady.bug,Miraculous Ladybug & Cat Noir - The Official Game,Crazy+Labs+by+TabTale,"10,000,000+",https://www.tabtale.com,WeCare@TabTale.com
com.fungames.battletanksbeta,War Machines: Free Multiplayer Tank Shooting Games,8186084684070471579,"10,000,000+",https://www.fungames-forfree.com/games/warmachines,support+warmachines@fungames-forfree.com
com.skyfox.foxoneSMFree,FoxOne Special Missions Free,SkyFox,"1,000,000+",http://www.foxonegame.com,foxonegame@gmail.com
com.timuzgames.sniper3d2019,Sniper 3D - 2019,8347901481645278558,"1,000,000+",http://www.timuz.com,info@timuz.com
com.sgs.urb.versuspixels,Pixel Grand Battle 3D,7491275018347638636,"500,000+",https://www.facebook.com/SuperGamesStudio,opec@yandex.ru
com.nextgames.android.ourworld,The Walking Dead: Our World,7220471815630703407,"1,000,000+",https://nextgames.helpshift.com/a/the-walking-dead-our-world/,ourworld.support@nextgames.com
com.milliongames.dinosaurcounterattack,Dinosaur Counter Attack,Million+games,"100,000+",http://www.milliongames.net,milliongamesnew@gmail.com
com.timuzgames.fpsteamwar,FPS Shooter 3D,8347901481645278558,"1,000,000+",http://www.timuz.com,info@timuz.com
com.craftheroteam.fivehorrornightsindevilcinema,5 Horror Nights in Devil Cinema,Craft+Hero+Team,"1,000+",https://craftheroteam.wixsite.com/craftheroteam,craftheroteam@gmail.com
com.darkarrow.stickfighter.saiyan.vip,Stick Shadow: War Fight,Reed+Been,"500,000+",https://sites.google.com/view/privacypolicyreedbeen,reedbeen123@gmail.com
fishing.party.bonus.th,Fish Hunter - Fishing Bonus Party,Fishing+Party+Bonus+Studio+Game,"100,000+",http://fishingbonus.net/policy,fishingbonus@gmail.com
com.milliongamesnew.sharksimulator2019,Shark Simulator 2019,Million+games,"1,000,000+",http://www.milliongames.net,milliongamesnew@gmail.com
com.hgamesartworks.dinosimulator,Dinosaur Simulator: Dino World,HGames-ArtWorks,"10,000,000+",https://hgames.allyou.net,hgamesart@gmail.com
com.gdcompany.deepwaters,Pacific Warships: Online 3D War Shooter,4894008586539345362,"1,000,000+",http://gdcgames.ru,assistance.gdc@gmail.com
com.timuzsolutions.unfinishedmission,Unfinished Mission,8347901481645278558,"5,000,000+",http://www.timuz.com,support@timuz.com
com.cerebralfix.ninjatobu,Ninja Tobu,CerebralFix,"1,000,000+",http://www.cerebralfix.com,android@cerebralfix.com
com.sculfa.vrhauntedhouse,VR Haunted House 3D,Serkan+Culfa,"1,000,000+",http://serkanculfa.com,shgamesdeveloper@gmail.com
com.online.gametop.ninja.battle2019,Ninja Shadow Turtle: Superhero City 3D,Game.hero.io,"5,000+",https://privacypolicies.com/privacy/view/67a3e197cbaabe0d20552486aa391709,berj.hero06@gmail.com
com.gemgames.broguns,Bro Guns,GemGames,"1,000+",https://docs.google.com/document/d/1ynfhCKBXULSDd0gJd7zSSq0ZhSCawwsYeT4WnZkhJLA,gemgames.ru@gmail.com
us.ApexLegends.free.game,guide for Apex Legends 2019,APX+Games,"1,000+",https://pastebin.com/MU5tj33N,support@agames.eu
