app_id,title,dev_id,installs,dev_url,dev_email
com.casino.slots.free.vegaspartyslots,Vegas Party Slots--Double Fun Free Casino Machines,Arekool+Inc,"5,000+",http://www.mangolee.com,slot@mangolee.com
quickhit.progressive.jackpot.slots.classic,Fast Hit Slots-Triple Red Hot 777 Slots Casinos,Fast+Hit+Slots,"1,000+",http://www.wolfganggaming.com,support@wolfganggaming.com
air.com.wheelslot.jackpotspin,Jackpot Spin Casino - Free Slots,DG+Titan,"1,000+",https://danieldee1869.wixsite.com/appstore/privacy-policy,danieldee1869@gmail.com
com.star.bingo.king,Bingo Stars,Bazynga+Bingo+Games,"10,000+",https://sites.google.com/view/bazyngapps,bazyngapps@mail.ru
com.fanx.game,"FunX - Play more, Earn more","FanX+Technologies,+Inc",100+,https://fanx.win,team@fanx.pro
air.dd.casino.slotc1,Diamond Deluxe Casino - Free Slot Machines,DG+Titan,"1,000+",https://danieldee1869.wixsite.com/appstore/privacy-policy,danieldee1869@gmail.com
com.gsn.android.casino,"GSN Casino: Online Casino – Slots, Poker, Bingo","GSN+Games,+Inc.","10,000,000+",http://www.gsngames.com,gsncasinosupport@gsngames.com
com.diamondlife.slots.vegas.free,Lotsa Slots - Vegas Casino SLOTS Free with bonus,8454058997475921489,"1,000,000+",http://www.bolegames.com/privacy_policy.html,jackpotslotgames@gmail.com
com.luckyday.app,Lucky Day - Win Real Money,7543064849642768907,"10,000,000+",https://luckyday.com,support@luckydayapp.com
com.playstudios.myvegas,myVEGAS Slots - Las Vegas Casino Slot Machines,PlayStudios,"10,000,000+",http://www.myvegas.com,support@myvegas.com
com.GamesFolderLLC.Chinchiroll,ChinchiRoll,Games+Folder,10+,,GamesFoldersgames@gmail.com
air.com.playtika.slotomania,Slotomania™ Slots Casino: Vegas Slot Machine Games,8370476508159322879,"10,000,000+",https://www.slotomania.com/,android@playtika.com
com.infiapps.slotbonanza,Slot Bonanza - Free Casino Games & Slot Machines,Infiapps+Ltd,"1,000,000+",http://www.slotbonanza.com/,slotbonanza.googleplay@infiapps.com
com.won.thebigjackpot,The Big Jackpot,MediaB,"10,000+",https://won.com,appdev@mediabreakaway.com
com.diwip.socialslots,Best Casino Social Slots for Fun - Free,5376181793611066520,"100,000+",http://www.diwip.com,diwip@akamonhelp.zendesk.com
com.grandegames.slots,Slots Forever™ FREE Casino,7784556123656502956,"1,000,000+",http://www.funtrio.com/privacy-policy,slotsgamecontact@gmail.com
com.zentertain.doublexcasino,DoubleX Casino - Free Slots,6624032394863046201,"1,000,000+",http://www.me2zen.com,service@me2zen.com
air.com.gameaccount.sanmanuel.slots,San Manuel Slots,San+Manuel+Casino,"100,000+",http://play.sanmanuel.com,customerservices@play.sanmanuel.com
com.doubledowninteractive.kiwiexperience,DoubleDown Classic Slots - FREE Vegas Slots!,5819088965110992860,"100,000+",https://www.facebook.com/DoubleDownClassic,support@doubledownclassicslots.com
com.playwpt.mobile.poker,World Poker Tour - PlayWPT Free Texas Holdem Poker,8704058154134341886,"100,000+",https://www.playwpt.com,support@playwpt.com
com.igg.bzbee.slotsdeluxe,Slot Machines by IGG,8895734616362643252,"10,000,000+",http://www.igg.com,help.slots.android@igg.com
com.epic.slots.casino.vegas.android.avidly,Epic Jackpot Slots - Free Vegas Casino  Games,Arunee+Cui,"100,000+",https://d28w1kh1yrgkq0.cloudfront.net/policy/policy-GP-Aruneecui.html,jerry.shi@avid.ly
air.com.everi.hrv,High Rollin' Vegas Slots,Everi+Interactive,"10,000+",https://www.everi-interactive.com,highrollinsupport@everi.com
com.hncgames.realcasino,Real Casino - Free Vegas Casino Slot Machines,7130028942974458707,"1,000,000+",https://www.hncgames.com/realtexasholdem/privacy.php,luna@hncgames.com
com.RocketGames.ClassicDeluxe,SLOTS! Deluxe Free Slots Casino Slot Machines,7814188751031376182,"1,000,000+",http://www.rocketspeed.net,downtowndeluxesupport@rocketspeed.net
com.slots.fortune.vegas.casino,Slots Fortune - Bonanza Casino,Buffalo+Fortune+Studio+-+Free+Slots+%26+Vegas+Casino,"500,000+",http://www.wildluckgames.com/privacy-policy,wildwinslots@gmail.com
com.sharkparty.bingo,Bingo™,8843836569947671195,"5,000,000+",http://www.storm8-studios.com,support@storm8.com
com.kingsify.bingopartyland,Bingo PartyLand 2 - Free Bingo Games,Kingsify+LLC,"100,000+",http://app.bingopartyland.com/assets/privacy.txt,hello@kingsify.com
com.sharkparty.slots,Slots™,8843836569947671195,"5,000,000+",http://www.storm8-studios.com,support@storm8.com
com.link.newslots,Jackpot Slots - Slot Machines & Free Casino Games,TAP+WEGAME+LIMITED,"100,000+",http://www.luckreach.com,tapwegame@gmail.com
com.twelvegigs.heaven.vpoker,VIDEO POKER OFFLINE FREE!,6833765329689499967,"1,000,000+",http://www.SuperLuckyCasino.com,vpha@12gigs.com
com.greentubepro.foxwoods,FoxwoodsONLINE - Free Casino,BlueBat+Games+Inc.,"100,000+",https://foxwoodsonlinecasinohelp.zendesk.com,support@online.foxwoods.com
com.citrusjoy.trojan,Huge Win Slots: Real Free Huge Classic Casino Game,6035104825005107893,"500,000+",http://facebook.com/hugewinslots,hugewinslots@citrusjoy.com
com.idlegames.eldorado,Fresh Deck Poker - Live Holdem,"GSN+Games,+Inc.","1,000,000+",http://freshdeckpoker.com,support@freshdeckpoker.com
com.igg.android.casinodeluxebyigg,"Casino Deluxe Vegas - Slots, Poker & Card Games",8895734616362643252,"1,000,000+",http://www.igg.com,help.casinodeluxe.android@igg.com
com.rushmo.casinofrenzy,Casino Frenzy - Free Slots,Felix+Lab+Inc.,"1,000,000+",http://www.casinofrenzyapp.com,support@labfelix.com
air.com.pipastudios.release.praiabingo,Praia Bingo + VideoBingo Free,4668226700677188770,"1,000,000+",http://www.pipastudios.com/,support@pipastudios.com
air.com.gan.winstar.slots,WinStar Online Casino & eGames,Koch+Communications,"50,000+",http://kochcomm.com/,winstar@kochcomm.com
com.scopely.slotsvacation,Slots Vacation - FREE Slots,9028773071151690823,"5,000,000+",http://withbuddies.com,distribution@scopely.com
slots.unlimited.casino.games.free,Slot Machine Games - Slots Unlimited Free Casino,8602316971040792158,"500,000+",https://sites.google.com/view/slots-unlimited/,santajackpot@gmail.com
com.nurigames.casinolive,"Galaxy Casino Live - Slots, Bingo & Card Game",7171777474719574358,"1,000,000+",http://www.nurigames.com,support@nurihelp.zendesk.com
com.tapinator.videopokerclassic,Video Poker Classic Free,6867505837657091793,"100,000+",http://www.tapinator.com,info@tapinator.com
com.gamecircus.CoinDozerJackpot,Coin Dozer: Casino,5517637428189447271,"5,000,000+",http://gamecircus.com,support@gamecircus.com
com.murka.ngws,Slots on Tour Casino - Vegas Slot Machine Games HD,5941908837406018479,"500,000+",https://murka.helpshift.com/a/slots-on-tour/,support@murka.mail.helpshift.com
com.RocketGames.TripleDouble,Triple Double Slots - Free Slots Casino Slot Games,7814188751031376182,"1,000,000+",http://rocketspeed.net,tripledoublesupport@rocketspeed.net
com.grapegaming.slotsgrape,SLOTS GRAPE - Free Slots and Table Games,GRAPEGAMING+Ltd.,"10,000+",http://grapegaming.com,contact@grapegaming.com
com.newvegas.slotfortune,Slots Fortune: Free Slot Machines,"VegasInHand+Co.,Ltd","500,000+",http://www.vegasinhand.com,vegasinhandteam@gamil.com
com.luckios.vegasluckyslots,Slots: Free Slot Machines,6629301397797241104,"1,000,000+",http://www.luckios.com/private.html,dev@luckios.com
com.nsusplay.slotventures.live,Slotventures - Fantasy Slots,Red+Bell+Games+Inc.,"100,000+",http://redbell.games,support@redbell.games
com.genina.android.blackjack.view,BLACKJACK!,6833765329689499967,"10,000,000+",http://superluckycasino.com/,bjha@12gigs.com
air.com.palainteractive.social.mypalacasino,MyPalaCasino: Free Casino,Pala+Interactive+LLC,"10,000+",http://www.palasocial.com,contact@palasocial.com
com.mvl.iPlaySeneca,iPlaySeneca,Seneca+Gaming+Corporation,"10,000+",https://iplayseneca.play4funnetwork.com/legal/privacy_policy/,jthomas@senecacasinos.com
com.phonato.doubleJackpotSlots,Double Jackpot Slots!,6886108436842788126,"100,000+",http://phonato.com,support@phonato.com
com.tapslots.sevenkings,Wild Cherry Slots: Vegas Casino Tour,8823650727625885259,"100,000+",http://www.tapslots.com,support@tapslots.com
com.thunderlink.slots,Thunder Jackpot Slots Casino - Free Slot Games,6926575025651311904,"50,000+",https://s3-us-west-1.amazonaws.com/new.spark.game/publish/html/policy.html,thunderlinkslots@gmail.com
com.hncgames.realcasino2,Real Casino 2 - Free Vegas Casino Slot Machines,7130028942974458707,"50,000+",https://www.hncgames.com/realtexasholdem/privacy.php,luna@hncgames.com
com.funstage.gta,GameTwist Slots: Free Slot Machines & Casino games,8128532516213169694,"5,000,000+",http://www.gametwist.com/,appsupport@gametwist.com
com.linkdesks.slotmachines,Slots - Free Vegas Casino Slot Machines Games,Casino+Joy,"1,000,000+",http://www.puzzlejoyinc.com/PrivacyPolicy.html,slotmachines@puzzlejoy.com
com.huuuge.stars.slots,Huuuge Stars™ Slots Casino Games,8992197787187790047,"100,000+",http://www.huuugegames.com/,huuuge.global.limited@gmail.com
air.com.gameaccount.empireCity.slots,Empire City Casino Slots,Empire+City+Casino,"100,000+",https://mplay.empirecitycasino.com/,customerservices@play.empirecitycasino.com
com.goplayplay.css.android,Lucky 13: 13 Poker Puzzle,5506261269823501188,"100,000+",http://www.goplayplay.com,lucky13@goplayplay.com
com.freeslotgamesoflasvegas.binions,Binion's Casino,Free+Slot+Games+of+Las+Vegas,"10,000+",http://www.freeslotgamesoflasvegas.com,support@freeslotgamesoflasvegas.com
com.igs.goldentigerslots,Golden Tiger Slots - Online Casino Game,"International+Games+System+Co.,+Ltd.","1,000,000+",http://www.gametower.com.tw/index.aspx,swayhuang@igs.com.tw
com.slotslimited.superstar,777 Casino – Best free classic vegas slots games,Slots+Limited,"100,000+",http://www.slotslimited.com/index.php/privacy-policy/,cs@slotslimited.com
air.com.luckgenome.SlotsCrazeAndroid,Slots Craze: Free Slot Machines & Casino Games,Luck+Genome+ltd.,"100,000+",http://www.slotscraze.com,support@slots-craze.com
com.pokiemagic.casinoslots,Pokie Magic Casino Slots - Fun Free Vegas Slots,616+Digital+LLC.,"500,000+",http://www.pokiemagic.com,support@pokiemagic.com
com.kamagames.roulettist,Casino Roulette: Roulettist,6179794243705556952,"1,000,000+",https://www.roulettist.com/,support@kamagames.com
