app_id,title,dev_id,installs,dev_url,dev_email
com.KDP.CrazyBBcraftMCPE,Multicraft Crazy Neighbor for MCPE,Vu+Tung+Duong,"10,000+",https://www.freeprivacypolicy.com/privacy/view/198da2614978e7a868918498ac3fb787,Audaiduongxanh1988@gmail.com
com.sinyee.babybus.pilot,Baby Panda's Airplane,4946022439885210717,"100,000+",http://www.babybus.com,ser@babybus.com
com.leeplay.babyphone,Baby Phone 3 in 1 for Kids,Leeplay,"1,000+",http://oriplay.com/about/,oriplay.apps@gmail.com
com.bimiboo.runner,Car games for toddlers,5399967083006869522,"10,000+",http://www.bimiboo.com/,admin@bimiboo.com
de.woodiehoo.dressingup,WoodieHoo Dress Up: Animal Fun,RTL+DISNEY+Fernsehen+GmbH+%26+Co.+KG,"10,000+",https://www.woodiehoo.com/,Entwickler@superrtl.de
com.JayAndAJ.ThesisSegregate,"Basura mo, Segregate ko",Wyle+Junio,5+,https://www.facebook.com/wylejunio,wylejunio@gmail.com
com.juniorgames.girls.cooking.rainbow.cotton.candy,Rainbow Cotton Candy - Cooking Game,Junior+Games+Studio,50+,http://www.juniorgamesstudio.com,juniorgamesstudio@outlook.com
com.colouring.bear.teddy,Colouring Book Teddy Bear,G.A.I.L+Studio,500+,https://applicationgailstudios.blogspot.com/p/privacy-policy.html,baow.jaikhan@gmail.com
com.appybuilder.redstudiomarket.baby_phone,Baby Phone,Red+Studio+Market,10+,https://sites.google.com/view/babyphone22/trang-ch%E1%BB%A7,redstudiomarket@gmail.com
com.danikson.englishpicturevocabulary,English Picture Vocabulary,Danikson,1+,https://sites.google.com/view/danikson/privacy,danikson2019@gmail.com
com.suneshine.princesspolyroll,Princess Poly Sphere 3D Puzzle: Princess Poly Art,Sunshine+Gamedesign,10+,https://tinyurl.com/yd6p3ncy,benkraemer79@gmail.com
org.tigraliveanimations.alifsophia,Alif and Sofia,Tigra+Live+Animations,"5,000+",http://www.tigralive.com,jfasano@tigralive.com
com.zzm.flashcardgame,Multiplication Flash Card Game,7702928124686187323,10+,http://www.zapzapmath.com,hello@zapzapmath.com
kids.games.brain.educational.mentaleducation,Mental Educational Brain Teasers,Children+Education+Games,100+,https://childreneducationg.wixsite.com/games/about,childreneducationgames@gmail.com
com.strukturkode.pintarmatematika,Pintar Matematika - Game penjumlahan pengurangan,Strukturkode+Studio,100+,https://strukturkode.blogspot.com/p/pintar-matematika-privacy-policy.html,strukturkodelab@gmail.com
com.oup.elt.opwse,Oxford Phonics World: School,5271199381549403266,50+,http://www.oup.com/elt,OUP_ELT_e-sales@oup.com
com.DarkPyreInteractive.Brainchild,BrainChild,Dark+Pyre+Interactive,10+,http://www.darkpyre.com,admin@darkpyre.com
com.Maravilla.HappyFruitsDelFrutal,Happy Fruits Del Frutal,Happy+Fruits+Del+Frutal,500+,https://www.facebook.com/DelFrutalOficial/,joseph.antoine.guillaume@gmail.com
appinventor.ai_briancolsh1.BrainTester,The Brain Tester,,10+,,briancolsh1@gmail.com
wonderland.beauty,Wonderland : Beauty & Beast,4907572025980617983,"1,000+",http://www.my-town.com,info@my-town.com
com.wa.prod.wineacuity,Wine Acuity,Wine+Acuity+LLC,1+,http://www.wineacuity.com,support@wineacuity.com
com.wbs.aquarium,aquARium AR Paint,wbs+tech+mobile,5+,https://www.windbluesea.com/,support@windbluesea.com
org.ideategames.CladesSolo,Clades Solo,Ideate+Games,10+,http://www.ideategames.com/Clades,david@marques42.org
com.sinyee.babybus.holiday,Baby Panda's Vacation,4946022439885210717,"5,000,000+",http://www.babybus.com,ser@babybus.com
com.to.write.learn.abc.english.alphabet.numbers.kids.learning.game,"ABC: English Alphabet, Numbers! Kids Learning Game",Godo+Games,"1,000+",http://www.godogames.com,i@godogames.com
com.hmhco.sciencearbooks,HMH Science Dimensions,Houghton+Mifflin+Harcourt,100+,http://www.hmhco.com,HMH_Developer@hmhpub.com
com.rvappstudios.math.kids.counting,"Math Kids - Add, Subtract, Count, and Learn",7430005971129979939,"1,000,000+",http://www.rvappstudios.com,app_support@rvappstudios.com
zok.android.dots,Kids Connect the Dots (Lite),6695914693084197974,"5,000,000+",http://www.intellijoy.com,questions@intellijoy.com
com.sinyee.babybus.angie,The Adventurous Cloud - Free,4946022439885210717,"1,000,000+",http://www.babybus.com,ser@babybus.com
com.iz.pretend.play.my.monster.town.airport,My Monster Town - Airport Games for Kids,5953899060857093739,"10,000+",http://www.idzdigital.com,support@idzdigital.com
com.androbaby.kidsconstructiongame,Kids Construction Game: Preschool,7962586262608152907,"1,000,000+",http://forumvs.com/policy_kidsconstructiongame.html,androbabyid@gmail.com
com.tutotoons.app.sweetbabygirlcleanup6.free,Sweet Baby Girl Cleanup 6 - School Cleaning Game,6493980387780624296,"1,000,000+",http://www.tutotoons.com,support@tutotoons.com
com.tutotoons.app.prettylittleprincess.free,"Pretty Little Princess - Dress Up, Hair & Makeup",6493980387780624296,"500,000+",http://www.tutotoons.com,support@tutotoons.com
com.cuteandtinybabygames.cutetinyprofessions.free,"Cute & Tiny Professions - Tailor, Chef & Craftsman",5940508328227487288,"50,000+",http://www.zaidimustudija.lt,info@zaidimustudija.lt
com.amayasoft.dinosaur.games.little.kids.toddlers,Dinosaur games for kids and toddlers 2 4 years old,5201272803035909879,"50,000+",http://www.amayakids.com/,info@amayasoft.com
com.sinyee.babybus.starwars,Baby Panda's Space War-Space Guardians & Spaceship,4946022439885210717,"500,000+",http://www.babybus.com,ser@babybus.com
coloring.pepa.abngroupgames,Coloring Peepa Book and pig,ABN+Group,"10,000+",,abn.group.games@gmail.com
kidgames.coloring.pages,Coloring Pages for kids,Kidgames,"10,000,000+",http://kid-games.info,kidgame.edu@gmail.com
wonderland.beauty,Wonderland : Beauty & Beast,4907572025980617983,"1,000+",http://www.my-town.com,info@my-town.com
com.kidsgamesapp.paw.babies.patrol.free.memory.game,Babies Pups Memo Patrol,Kids+Games+Apps+For+You,"1,000+",https://sites.google.com/view/kidsgamesapp42/privacy-policy,kidsgamesapp42@gmail.com
com.idz.train.game.kids.pretend.play,My Chompy Town - Toy Train Games for Kids,5953899060857093739,"1,000+",http://www.idzdigital.com,support@idzdigital.com
com.sinyee.babybus.town,Labyrinth Town - FREE for kids,4946022439885210717,"1,000,000+",http://www.babybus.com,ser@babybus.com
com.gamesforkids.preschoolworksheets.alphabets,ABC PreSchool Kids Tracing & Phonics Learning Game,GunjanApps+Studios,"1,000,000+",http://gunjanappstudios.com/,support@gunjanappstudios.com
m01k.star.game,Multiplication Tables Challenge (Math Games),AppStar+Studio,"100,000+",http://app.appstar.url.tw/APP/AppStar/PrivacyPolicy.html,kidsappstar@gmail.com
com.appsbergman.celulareducacional,My Educational Phone,6681025014292303495,"1,000,000+",http://appsbergman.com/,contato@appsbergman.com
com.Sumdog.App3D,Sumdog,6724569763251636250,"100,000+",https://www.sumdog.com/,info@sumdog.com
com.psv.psvn_goodnight_hippo_2,Bedtime Stories for kids,Hippo+Baby+Games+for+Girls+and+for+Boys,"1,000,000+",http://psvgamestudio.com,hippo.kidsgames@gmail.com
com.edujoy.dentist,Dentist games for kids,AppQuiz,"5,000,000+",http://www.edujoy.es,edujoy@edujoy.es
