app_id,title,dev_id,installs,dev_url,dev_email
com.flexi.shoot,Gun Idle,8867515009520278694,"500,000+",http://www.greenpandagames.com/en/privacy_policy,support@greenpandagames.com
com.quok.dodgeball,Dodgeball.io,Rollic+Games,"10,000+",http://rollicgames.com,info@rollicgames.com
com.sd.mma.fighting.star.boxing,Fighting Star,Doodle+Mobile+Ltd.,"100,000+",http://www.doodlemobile.com,contact@doodlemobile.com
com.MasterInteractiveArts.SprocketLeague,Sprocket League,Master+Interactive+Arts,"1,000+",,masterinteractivearts@gmail.com
com.distinctivegames.hockey2019,Hockey All Stars,6003361308918013001,"50,000+",http://www.distinctivegames.com,support@distinctivegames.com
com.Amazing.Billard.Poll.Pro,Amazing Pool Pro,5003339544742675182,"10,000+",http://stronguniongames.com,Berkutgame@gmail.com
com.sowg.olympicsgames2019,World Games Abu Dhabi 2019,Special+Olympics+World+Games+Abu+Dhabi+2019,"1,000+",https://www.abudhabi2019.org/,solad2019@gmail.com
shootinggames.shooting.games,Shooting Games - 2019,GAME+TSUNAMI,"10,000+",http://www.bigbitegames.com,bigbitegamesindia@gmail.com
com.CarloSunseri.CollegeLacrosse2018,College Lacrosse 2019,"Carlo+Sunseri,+LLC",100+,http://laxvideogame.com,carlo@crossestudios.com
com.vividgames.pocketminigolf.ball,Pocket Mini Golf,6946784258980756144,"1,000+",http://www.vividgames.com,android@vividgames.com
com.ByteRockers_Games.Purrling,Purrling - Interactive Pet curling,8732321176004375902,"5,000+",https://www.byterockers.games,support@byterockers.games
com.them.downhillmasters,Downhill Masters,THEM+corporation,"5,000+",http://www.themco.kr,admin@themco.kr
com.stickman.teacher.basketball.spectacular.games,Stickman Teacher. Basketball Basics,Spectacular+Games,500+,https://spectaculargamescompanyprivacypolicy.blogspot.com/2019/02/privacy-policy.html,spectaculargamescompany@gmail.com
com.joshsgames.shuffleboard,Shuffleboard,JoshsGames.com,100+,http://joshsgames.com,joshsgames@gmail.com
com.hex.BoatRacing,Real Speed Boat Racing,Hex+Mobile,100+,http://hex2mobile.lofter.com/,hex2mobile@gmail.com
com.CubeCubeSports.CubicFootball3D,Cubic Football 3D,CubeCube+Sports,500+,http://www.cubecubesports.com/privacypolicy.html,info@cubecubesports.com
com.gamebridgestudio.realcricket,4th PSL Games 2019 ; Live PSL Cricket  Match,9150013904104793373,"5,000+",,gamebridges2dio@gmail.com
com.gpp.skistation,Ski Station,8867515009520278694,100+,https://www.greenpandagames.com/en,support@greenpandagames.com
com.touchgrindbmx.skate.world,Touchgrind bmx 2',Goingprolab,500+,,dreamalb12@gmail.com
com.FootballClash,USA Football,VaestoX,50+,http://www.vaesto.com,VaestoX@gmail.com
com.MonkeyBalance.BallUltimatess_titanium_streetalpha3_b,Street of the Fighter (Emulator),GaunaGames,100+,,GaunaCarmen2@gmail.com
com.duolabz.psl2019.cricket,PSL Game 2019: Pakistan Cricket League T20 Game,Duo+Labz,"10,000+",http://www.duolabz.com,developer@duolabz.com
com.jambav.RushARound,RushARound,7118381535300531301,100+,http://www.jambav.com,jambavteam@gmail.com
org.kickoff,Kickoff Manager,Manager+Factory,"1,000+",http://www.onlinefootballmanager.org,support@onlinefootballmanager.org
com.jifisher.futsim,FUT 19 Simulator by Ji Fisher Studio,5684011480316261444,"10,000+",,jifisheroff@gmail.com
