app_id,title,dev_id,installs,dev_url,dev_email
com.photoeditor.videopiccollage,Photo Editor: Pic Collage,Photo-Editor+Pro,"10,000+",http://bit.ly/2MFXNHX,photocollagepro2019@gmail.com
com.intermedia.hd.camera.pro,HD Camera Pro : Best Camera HD Professional,5910680070765708570,"100,000+",https://intermedia-inc.weebly.com/privacy-policy.html,intermedia.inc@gmx.com
com.moonlab.unfold,Unfold — Create Stories,Unfold+Creative+LLC,"5,000,000+",http://www.unfoldstori.es,hello@unfold.us
com.picstudio.photoeditorplus,X Photo Editor - Cartoon Effect & Fashion Makeup,5518877975164386758,"1,000,000+",http://d2prafqgniatg5.cloudfront.net/XPicStudio/XPhotoEditor_privacy.html,aiprocessingstudio@gmail.com
com.asurion.android.mediabackup.vault.sprint,Sprint Complete Storage,Sprint,"100,000+",https://protection.sprint.com/,CompleteStorageSupport@asurion.com
remove.unwanted.object,Remove Object from Photo - Unwanted Object Remover,"Native,+Inc.","5,000,000+",https://islamicurdu.wordpress.com,rawodatulatfal@gmail.com
com.hqgames.pencil.sketch.photo,Pencil Photo Sketch-Sketching Drawing Photo Editor,Minerva+Studios+Private+Limited,"10,000,000+",https://sites.google.com/view/pencilphotosketch/home,hqgames1080@gmail.com
com.pavahainc.smokenameart,Smoke Effect Art Name: Focus Filter Maker,Pavaha+Lab,"1,000,000+",http://letapps.com/privacy.html,pavahainc@gmail.com
best.photo.app.babyphotostickers,Tootsie Baby Photo,Best+Photo+Apps,"50,000+",http://bestphotoapps.ru/privacy-policy.html,best.photo.app@gmail.com
designblur.photo.android.app.addquick,Design Blur (Radial Blur),addquick,"100,000+",http://addquick.website/,addquicks@gmail.com
com.palmeralabs.mardi_gras_photo_stickers,Mardi Gras Photo Stickers,8577558281498808594,"10,000+",http://palmeralabs.com,palmeralabs@gmail.com
photoeditor.photocollage.collageframepro,Pic Collage Frame - Photo Collage Maker PicEditor,fly+team,"100,000+",http://47.91.139.139/Policy/Android/CollageFramePro/PrivacyPolicy.html,leijunguo85@gmail.com
com.loopsie.android,Loopsie - Pixeloop Video Effect & Living Photos,6640495756547439787,"1,000,000+",http://www.loopsie.it,android.support@loopsie.it
io.faceapp,FaceApp,FaceApp+Inc,"10,000,000+",http://www.faceapp.com,support.android@faceapp.com
com.lightricks.facetune.free,Facetune - Selfie Photo Editor for Perfect Selfies,Lightricks+Ltd.,"5,000,000+",http://www.facetuneapp.com/index.html,android@facetuneapp.com
com.photo.bestbeautycamera,Best Beauty Camera,Summer+Mobile+Studio,"1,000,000+",http://www.kungfu365.com/best/src/policy.html,rosshuang666@gmail.com
pixelab.camart.cartoon,cartoon camera,Pixelab,"1,000,000+",http://www.isystemgroup.org/pixelab_policy.html,pixelab@isystem.gr
com.lightx.storyz,StoryZ Photo Motion & Cinemagraph,Andor+Communications+Pvt+Ltd,"1,000,000+",https://www.storyzapp.com/privacy_policy.html,andorcommunications@gmail.com
com.kingsapps.selfiecamera,Selfie Camera Professional - NEW Filters,Kings+Apps+developers,"1,000+",https://privacypolicyfs.blogspot.com/,albahrsdeve@gmail.com
com.VictoryRoyalePhotoEditor.FBRSKINS.FortniteStickers,Victory Royale Photo Editor - FBR SKINS,Fun+And+Free+Apps+For+All,"10,000+",https://funandfreeappsfora.wixsite.com/mysite,funandfreeappsforall@gmail.com
com.lyrebirdstudio.background_eraser,Background Eraser: Transparent & White Background,8117239212302166287,"50,000+",http://lyrebirdstudio.net/privacy.txt,lyrebirdstudio@gmail.com
com.simplifieditproducts.picturekeeperconnect,Picture Keeper Connect,"Simplified+IT+Products,+LLC","10,000+",https://picturekeeper.com/,sales@picturekeeper.com
com.offiwiz.resize.photo.resizer,Photo & Image Resizer - Resize and Crop Picture HD,7817067652190205522,"50,000+",http://www.offiwiz.com,offiwiz@gmail.com
com.tfc.carnivalmasks.photoeditor.carnival.facemask.app,Carnival Masks Photo Frame Editor,The+Fashion+Crazier,"10,000+",https://thefashioncrazier.blogspot.com/2017/11/the-fashion-crazier-privacy-policy.html,fashioncrazier@gmail.com
com.pic.pipcamera,PIP CAM - Photo Maker,7153679079505837871,"10,000,000+",https://pictoolsgroup.tumblr.com/post/157522018949/privacy-policy-of-pic-tools-group-photo-editor,wongcti12214@gmail.com
com.pratipalstickers.MardiGrasStickers,Mardi Gras Stickers To Add To Your Photos Studio,stickers+photo+editor,100+,http://www.veritastechnolabs.com/privacypolicy.htm,krutic2313@gmail.com
com.pavahainc.newphotoframes,New Photo Frames,Pavaha+Lab,100+,http://letapps.com/privacy.html,pavahainc@gmail.com
com.nickcullen.prog,Prog,Nicholas+Cullen,100+,https://nickcullen.net,contact@nickcullen.net
com.chatbooks,Chatbooks: Photo Books & Cards,Chatbooks,"500,000+",http://www.chatbooks.com,support@chatbooks.com
com.lightx,LightX Photo Editor & Photo Effects,Andor+Communications+Pvt+Ltd,"10,000,000+",https://lightxapp.com/,support@lightxapp.com
com.outthinking.photoeditorformen,"Handsome : Men Editor, Hair Styles, Mustache, Abs",ANDROID+PIXELS,"5,000,000+",http://www.outthinkingindia.com/privacy-policy/,androidpixels@gmail.com
com.ycc365closeli.aws,YCC365,cloudcam,"50,000+",http://ycc365.support.com,support@cloudiotcam.com
com.thirtythreebits.tattoo,Tattoo —  virtual ink maker,Cosmoshark+LLC.,"1,000+",http://www.cosmoshark.com/,support@cosmoshark.com
com.fundaymagnifying.zoomtelescopecamera,Magnifying Zoom Telescope Camera,FS+studio,"500,000+",https://fsstudio08.wixsite.com/privacy-policy,fsstudio08@gmail.com
photoeditor.selfiecamera.snappycamera.MakeupPhotoEditor,Makeup Photo Editor: Selfie Camera and Face Makeup,Chipo+Created,"500,000+",http://chipocreated.com,chipocreated@gmail.com
net.luxuryapps.squarenocrop,Blur Square - No Crop Photo Editor & Collage Maker,Square+Photo+Editor+Apps,"100,000+",https://photoyou.me,luxurydevnet@gmail.com
com.pic.photoeditor,Photo Editor - Beauty Camera & Photo Filters,7153679079505837871,"50,000,000+",https://delicatelykeenmilkshake.tumblr.com/post/157351060150/privacy-policy-of-photo-editor,wongcti12214@gmail.com
com.picsart.studio,PicsArt Photo Studio: Collage Maker & Pic Editor,5408830062919995155,"100,000,000+",https://picsart.com,support@picsart.com
com.triciaapps.photoframes.PhotoFramesLove,Photo Frames Love,7238397895237322423,"500,000+",https://sites.google.com/view/triciaappspolicy,surcotricia@gmail.com
com.pavahainc.sparkleoverlayphotoapp,Sparkle Overlay Photo App,Pavaha+Lab,500+,http://letapps.com/privacy.html,pavahainc@gmail.com
com.radianceappstudio.carnivalphotoframes,Carnival Photo Frames,Radiance+App+Studio,500+,https://radianceprivacypolicy.blogspot.com/,radiance02app@gmail.com
com.instagram.boomerang,Boomerang from Instagram,Instagram,"100,000,000+",http://instagram.com,support+android@instagram.com
com.dailyselfie.newlook.studio,"Sweet Camera - Selfie Filters, Beauty Camera",8095884964308210606,"50,000,000+",https://oneappteamcamera.weebly.com/,feedback.s.camera@outlook.com
com.photoaffections.freeprints,FreePrints – Free Photos Delivered,PlanetArt,"1,000,000+",http://www.freeprints.com,support@freeprintsapp.com
com.appwallet.faceprojector,Face Projector Editor : Photo Projector Editor App,Appwallet+Technologies,"1,000,000+",http://www.appwallettech.com,appwallettechnologies@gmail.com
walmart.photo.centerappkiosk,Photos for Walmart - Kiosk & Print App,Photo+Mart+Tech,100+,http://bit.ly/photo-center-walmart,photomartapp@techie.com
com.youthhr.phonto,Phonto - Text on Photos,youthhr,"10,000,000+",http://phon.to/download,contact@phon.to
photoeditor.snapgrid.photocollage,"Snap Collage Maker - Sticker, Filter Selfie Editor",fly+team,"100,000+",http://47.91.139.139/Policy/Android/SnapGrid/PrivacyPolicy.html,leijunguo85@gmail.com
com.adobe.lrmobile,Adobe Lightroom CC,4734916851270416020,"10,000,000+",https://www.adobe.com/products/photoshop-lightroom.html,LrAndroid-Feedback@adobe.com
com.fotoable.faceswap.c403,Face Swap,Weather+Radar+Forecast,"10,000,000+",http://www.fotoable.com/privacy.html,weiyameng@fotoable.com
com.artisanstate.photobooks,Zno: Photo Books & Prints,Zno+Inc.,"100,000+",http://www.zno.com,support@zno.com
com.hefe.pro.editor,"Photo Editor Pro – Sticker, Filter, Collage Maker",PikaSnap+DEV,"10,000,000+",http://privacy.subcdn.com/policy/com_hefe_pro_editor/ALL/en/582/privacy.html,totalgol7@gmail.com
com.appster.facejjang,Facejjang,Sangmin+Bang,"10,000,000+",https://www.facebook.com/fjjang,facejjang50@gmail.com
selfie.photo.apps.facemaskcamera,Anonymous Face Mask,Selfie+Photo+Apps,"50,000+",https://docs.google.com/document/d/17Phqvzwfe8vS4XNvMmuZzrd_gKetfiFNFV2844nr1vw/edit?usp=sharing,selfiephotoapps@gmail.com
com.filmlabapp.filmlab.android,"FilmLab, for analog flilm",Abe+Fettig,100+,http://filmlabapp.com,abe@filmlabapp.com
photo.smile.red.eyes.changer.color,FoxEyes - Change Eye Color by Real Anime Style,8472459119037168027,"1,000,000+",https://sites.google.com/site/gamesmilestudio/home,gamesmilestudio@gmail.com
com.AllSeason.Battleroyale,Battle Royale Wallpapers,Royale+Dev,"500,000+",https://sites.google.com/view/battle-privacy/,galilitomson@gmail.com
girls.photo.editor.apps.girlsherocostume,Girl Hero Costume - Princess Dress & Makeup,Girls+Photo+Editor,"100,000+",https://docs.google.com/document/d/15mznIkEAl4n2M-u5WW2-3CwIbjI5lMkWwb0DinUfRUI/edit?usp=sharing,girls.photo.editor.apps@gmail.com
com.pavahainc.pictureblender,Picture Blender & Photo Merge / Mixer Apps,Pavaha+Lab,"100,000+",http://letapps.com/privacy.html,pavahainc@gmail.com
com.pavahainc.horrorframesphotoeditor,Horror Frames Photo Editor,Pavaha+Lab,"10,000+",http://letapps.com/privacy.html,pavahainc@gmail.com
com.musicvideo.photoeditor.squarefit,Square Blur- Blur Image Background Music Video Cut,CameraStudiopro,"500,000+",http://119.28.31.90/Policy/Android/SquareFit/PrivacyPolicy.html,photo2labs@gmail.com
