app_id,title,dev_id,installs,dev_url,dev_email
com.mechya.offerupwish.guideforofferupbuysell.walmartcouponsdiscounts5miles,OfferUp buy & sell tips & advices for Offer up,Mechya,"1,000+",,contact@mechya.com
com.trouvix.redbubble,Browse RedBubble (no ads),Powerfision,"1,000+",http://www.trouvix.com,hi@trouvix.com
co.tapcart.app.id_QANW1P7QBr,Shumi Nation,Shumi+Toys+%26+Gifts+Inc.,500+,http://shumistore.com,sales@shumistore.com
lovely.wholesale.clothingshoppingfashionapp,LWholesale Fashion Shopping,Lovely+Fashion,100+,http://bit.ly/lovelywholesale-privacy-policy,lovely-wholesale-rotita-shopping-app@usa.com
com.wholesaleclothing.lovelywholesaleapp,Wholesale Clothing & Fashion for Women and Men,TechMart+Ltd,500+,http://bit.ly/2S1qBRg,aplusapps@inorbit.com
com.ufot.MelroseStore,Melrose Family Fashions,Melrose+Family+Fashions,100+,http://melrosestore.com,melrose@melrosestore.com
com.copsgunshop.mobile,C.O.P.S. GunShop,Elicio+Technology,100+,http://www.eliciotech.com,daniel.anderson@eliciotech.com
com.dailysale.app,"Daily Sale, Inc.","Daily+Sale,+Inc.",500+,https://www.dailysale.com,jay@dailysale.com
com.ccbella.android,CC Bella Boutique,CommentSold,100+,https://commentsold.com,mobile@commentsold.com
com.jademackenzie,Jade Mackenzie,Jade+Mackenzie+Apparel+Inc,50+,http://www.jademackenzie.com,info@jademackenzie.com
com.desdimonamiller.Anthropologie,Anthropologie,Tashin+LLC,100+,https://www.anthropologie.com/,desdimonamiller@gmail.com
com.myfavoritethings.us,Be Your Own Influencer,My+Favorite+Things,50+,http://myfavoritethings.us,hello@myfavoritethings.us
com.abela.android,Abela Story + Co,CommentSold,100+,https://commentsold.com,mobile@commentsold.com
com.barcodescannerpricechecker.appbarcodereaderqrscannernoads,Barcode Scanner Product + Price Checker (No Ads),Price+Checker+Laser+Pro,100+,http://bit.ly/privacypolicybarcodescannerpro,pricecheckerpro@technologist.com
xappdevelopment.xappdevelopment.Inventory,Inventory to txt,XAPP+Development,100+,https://sites.google.com/view/barcodereader1/home,xapp.development@gmail.com
com.couponat.promocodecouponsgroupon,"Couponat - Groupon coupons, vouchers & promo codes",Couponat,500+,https://couponat.info,contact@couponat.info
com.petlandapp.petlandapplication,Petland,"Petland,+Inc.",50+,https://www.petlandapp.com/,app@petlandapp.com
com.jjrae.android,JJ Rae,CommentSold,"1,000+",https://commentsold.com,mobile@commentsold.com
com.greatapps.appssalesfree,Apps sale - apps gone free - apps promo codes,8538191618075842484,"1,000+",http://www.yogeshdama.com,bhanushali.neelam@gmail.com
habrok.android.app,Habrok,Habrok,100+,http://www.habroksports.com,info@habroksports.com
co.tapcart.app.id_t8oJytIkvv,Sneaker Threads,Sneaker+Threads,100+,https://sneakerthreads-shop.com,support@sneakerthreads.com
com.porlalivre.mobile,Porlalivre App: Anuncios Clasificados para Cuba,Porlalivre,"1,000+",https://porlalivre.com,porlalivre@gmail.com
com.kpopdeals.kpopshopdeals,KPOP SHOP DEALS,KPOP+DEALS,100+,https://kpopdeals.com/,Contact@kpopdeals.com
com.couponat.promocodecouponsmacys,"Couponat - Macy's coupons, vouchers & promo codes",Couponat,50+,https://couponat.info,contact@couponat.info
co.tapcart.app.id_1tlsqv6dQU,Ruby Olive,Ruby+Olive,100+,http://www.rubyolive.com,skye@rubyolive.com.au
com.carulla.appcompania,Carulla,Grupo+%C3%89xito,"10,000+",http://www.exito.com,movilidad@grupo-exito.com
net.httpstechshopusa.psncards,PSN Cards,Graphics+Card,100+,https://techshopusa.net,zak.odeh@gmail.com
variedshoes.android.app,VariedShoes,Fashion+online,10+,http://variedshoes.com,variedshoes@outlook.com
randomseedcorp.cichic,Cichic Shopping Online,6981840918465100275,100+,https://www.randomseedcorp.com/,Randomseedcorp@gmail.com
net.larixon.jacars,Jacars.net,Larixon+Classifieds,"1,000+",https://www.jacars.net,info@jacars.net
com.styleship.filakorea,FILA,StyleShip,100+,http://www.fila.co.kr,anji09@fila.com
com.exito.appcompania,éxito,Grupo+%C3%89xito,"100,000+",http://www.exito.com,movilidad@grupo-exito.com
