app_id,title,dev_id,installs,dev_url,dev_email
com.emoji.maker.photo.face.oppaidoll.home.screen,Hello Launcher - Doll Emojis & Themes,7203549082438446555,"100,000+",https://sites.google.com/view/hellostudioapp,hello@nileriver.nl
com.tqyapp.qr,Accurate scanning of QR code,Alexander+Weir,"10,000+",http://sunz.xyz/privacypolicy.html,938318107@qq.com
com.innovapp.calculator.free,Calculator,InnovApp+Inc.,"5,000+",https://sites.google.com/view/innovapp-inc/homepage,franciscoshumateatainhandsome@gmail.com
com.innovapp.brightest.flashlight,Super-Bright LED Flashlight,InnovApp+Inc.,"5,000+",https://sites.google.com/view/innovapp-inc/homepage,franciscoshumateatainhandsome@gmail.com
com.thng.app.tools.translator,Translate,Tulukasim,"50,000+",https://sites.google.com/site/priprivacypolicyoftranslate/,hopuerastu@gmail.com
com.super.bright.led.flashlight.apps,Free LED Flashlight: Super Bright Flash Light,XTool+Tech,"1,000+",https://sites.google.com/view/free-led-flashlight-super/%E9%A6%96%E9%A1%B5,xtoolapp2018@gmail.com
com.tr.apps.torrentsearch,Torrent Search Engine,TR-Apps,"100,000+",http://tspolicyandterms.000webhostapp.com/policies.php,app.support.ts@protonmail.com
com.ulsumobile.calculator,Basic Calculator,ULSUM+MOBILE,"5,000+",https://sites.google.com/view/ulsum-mobile/,melissaklineeasily@gmail.com
com.app.tools.master,Voice Changer -  Amazing Voice with Audio Effects,bestApper,"1,000+",https://firebasestorage.googleapis.com/v0/b/tools-master.appspot.com/o/policy.html?alt=media&token=713ff18c-93dc-4716-8682-55798a5b44f2,henryvictor573@gmail.com
com.innovapp.magnifier.flashlight.magnifyingglass,Magnifying Glass Flashlight,InnovApp+Inc.,"1,000+",https://sites.google.com/view/innovapp-inc,franciscoshumateatainhandsome@gmail.com
com.calculator.mathcamera,Calculator Pro – Solve math by CAMERA,Photo-Editor+Pro,"1,000+",http://bit.ly/2IkxGI8,photocollagepro2019@gmail.com
com.ashelykzc.phonekeeper,Phone Keeper,"Dream+Co.,Ltd.","5,000+",http://app.onlinemyapps.com/cl.html,ashelykzc@gmail.com
com.la.stude.metal.detector.pro,Stud Finder 2019: Pro Metal Detector,Luxuary+Apps,"1,000+",https://luxuryapps.wordpress.com/privacy-policy-luxuary-apps/,luxuaryapps@gmail.com
com.emoji.memoji.gif.animoji.theme.screen,Memoji Launcher - Animoji & Theme for Android,Shelter+Studio,"10,000+",https://sites.google.com/view/memojilauncherapp,oatsquakermg@gmail.com
com.health.drink.water.reminder.tracker,Drink Water Reminder - Water Tracker & Alarm,Power+Tools+Apps,"1,000+",http://cdn.appcloudbox.net/hyperspeednet/apps/waterpal/privacy.html,developer@quickatom.com
free.real.followers.likes.instagram,Get Followers for ig 2019,Followers+%26+likes+pro,"1,000+",https://docs.google.com/document/d/1btnXT9C2HQFX-NRzkb1EXtzczbhU3mGh8puRcikMsII/edit,jytanjun@gmail.com
com.innovapp.voice.recorder,"Voice Recorder, Audio Recorder & Sound Recording",InnovApp+Inc.,"1,000+",https://sites.google.com/view/innovapp-inc,franciscoshumateatainhandsome@gmail.com
com.ulsumobile.flashlight.free,Brightest Flashlight Free,ULSUM+MOBILE,"1,000+",https://sites.google.com/view/ulsum-mobile/,melissaklineeasily@gmail.com
com.pokemon.marvelous,Pokémon TCG Card Dex,The+Pok%C3%A9mon+Company+International,"50,000+",http://www.pokemon.com,pokemonusa@gmail.com
com.cherubi.volumebooster,"Galaxy Volume Booster – Volume Up, Sound Enhancer",Cherubi+Team,"50,000+",https://cherubipolicy.my-free.website/,nguyenguyen857@gmail.com
ru.vaucontdal.super.cool,Super Cooler,Vault+Utility+Apps,"1,000+",https://sites.google.com/view/supercoolerpro/home,vaucontdal249@gmail.com
